,State,Plant,County,Latitude,Longitude,Nameplate capacity (MW),Balancing Authority,Emission intensity (ton/MWh)
146,MO,Hawthorn,Jackson,39.1306,-94.4778,1046.2,Southwest Power Pool,0.96373
147,MO,Iatan,Platte,39.4472,-94.98,1725,Southwest Power Pool,0.99592
148,MO,John Twitty Energy Center,Greene,37.151706,-93.38804,603,Southwest Power Pool,1.177365
149,MO,Labadie,Franklin,38.562244,-90.837686,2389.4,"Midcontinent Independent Transmission System Operator, Inc..",1.029915
150,MO,Meramec,St Louis,38.4017,-90.3358,1041,"Midcontinent Independent Transmission System Operator, Inc..",1.113609455
151,MO,New Madrid Power Plant,New Madrid,36.5147,-89.5617,1300,"Associated Electric Cooperative, Inc.",0.95803
152,MO,Rush Island,Jefferson,38.131248,-90.263157,1242,"Midcontinent Independent Transmission System Operator, Inc..",0.997015
153,MO,Sikeston,Scott,36.8791,-89.6209,261,Southwestern Power Administration,1.03859
154,MO,Sioux,St Charles,38.915479,-90.290247,1099.4,"Midcontinent Independent Transmission System Operator, Inc..",1.1021
155,MO,Thomas Hill Energy Center,Randolph,39.5522,-92.6381,1181.7,"Associated Electric Cooperative, Inc.",1.077765
156,MS,Daniel Electric Generating Plant,Jackson,30.5322,-88.5553,2229,"Southern Company Services, Inc. - Trans",0.596855
157,MS,Red Hills Generation Facility,Choctaw,33.3761,-89.2183,513.7,Tennessee Valley Authority,1.35171
158,MT,Colstrip,Rosebud,45.8831,-106.614,2363.4,NorthWestern Energy (NWMT),1.150635
159,MT,Colstrip Energy LP,Rosebud,45.9752,-106.6547,46.1,NorthWestern Energy (NWMT),1.448195
160,MT,Hardin Generating Station,Big Horn,45.7578,-107.6,115.7,NorthWestern Energy (NWMT),1.54302
161,MT,Lewis & Clark,Richland,47.6785,-104.15665,68.6,"Midcontinent Independent Transmission System Operator, Inc..",1.43149
162,MT,Sidney MT Plant,Richland,47.717222,-104.135556,4,NorthWestern Energy (NWMT),0.49583
163,MT,Western Sugar Cooperative - Billings,Yellowstone,45.765346,-108.499232,1.5,NorthWestern Energy (NWMT),0.59895
164,NC,Asheville,Buncombe,35.4731,-82.5417,1423.5,Duke Energy Progress East,1.02806
165,NC,Belews Creek,Stokes,36.2811,-80.0603,2491.2,Duke Energy Carolinas,0.96179
166,NC,Cliffside,Cleveland,35.22,-81.7594,2540.5,Duke Energy Carolinas,0.96472
167,NC,"Edgecombe Genco, LLC",Edgecombe,36.037318,-77.753345,114.8,"PJM Interconnection, LLC",0.78372
168,NC,G G Allen,Gaston,35.1897,-81.0122,1148.4,Duke Energy Carolinas,1.167545
169,NC,Marshall,Catawba,35.5975,-80.9658,2119,Duke Energy Carolinas,1.02562
170,NC,Mayo,Person,36.5278,-78.8917,763.2,Duke Energy Progress East,1.276125
171,NC,Roxboro,Person,36.4833,-79.0731,2574.5,Duke Energy Progress East,1.08661
172,NC,University of NC Chapel Hill,Orange,35.9069,-79.0617,56,Duke Energy Carolinas,0.63102
173,ND,American Crystal Sugar Drayton,Pembina,48.593158,-97.17608,6,"Midcontinent Independent Transmission System Operator, Inc..",1.113609455
174,ND,American Crystal Sugar Hillsboro,Traill,47.437562,-97.06311,13.3,"Midcontinent Independent Transmission System Operator, Inc..",1.113609455
